序號,會議簡稱,會議全名,分類,類型,專業領域
11,ICANN,International Conference on Artificial Neural Networks,C,會議,人工智慧
12,FG,International Conference on Automatic Face and Gesture Recognition,C,會議,人工智慧
13,ICDAR,International Conference on Document Analysis and Recognition,C,會議,人工智慧
14,ILP,International Conference on Inductive Logic Programming,C,會議,人工智慧
15,KSEM,"International conference on Knowledge Science, Engineering and Management",C,會議,人工智慧
16,ICONIP,International Conference on Neural Information Processing,C,會議,人工智慧
17,ICPR,International Conference on Pattern Recognition,C,會議,人工智慧
18,ICB,International Joint Conference on Biometrics,C,會議,人工智慧
19,IJCNN,International Joint Conference on Neural Networks,C,會議,人工智慧
20,PRICAI,Pacific Rim International Conference on Artificial Intelligence,C,會議,人工智慧
1,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,A,會議,人機互動與普適計算
2,CHI,ACM Conference on Human Factors in Computing Systems,A,會議,人機互動與普適計算
3,UbiComp,ACM International Conference on Ubiquitous Computing,A,會議,人機互動與普適計算
4,UIST,ACM Symposium on User Interface Software and Technology,A,會議,人機互動與普適計算
1,GROUP,ACM Conference on Supporting Group Work,B,會議,人機互動與普適計算
2,IUI,ACM International Conference on Intelligent User Interfaces,B,會議,人機互動與普適計算
3,ISS,ACM International Conference on Interactive Surfaces and Spaces,B,會議,人機互動與普適計算
4,ECSCW,European Conference on Computer Supported Cooperative Work,B,會議,人機互動與普適計算
5,PERCOM,IEEE International Conference on Pervasive Computing and Communications,B,會議,人機互動與普適計算
6,MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,B,會議,人機互動與普適計算
7,ICWSM,The International AAAI Conference on Web and Social Media,B,會議,人機互動與普適計算
1,DIS,ACM Conference on Designing Interactive Systems,C,會議,人機互動與普適計算
2,ICMI,ACM International Conference on Multimodal Interaction,C,會議,人機互動與普適計算
3,ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,C,會議,人機互動與普適計算
4,GI,Graphics Interface conference,C,會議,人機互動與普適計算
5,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,C,會議,人機互動與普適計算
6,,IEEE World Haptics Conference,C,會議,人機互動與普適計算
7,INTERACT,IFIP TC13 Conference on Human-Computer Interaction,C,會議,人機互動與普適計算
8,IDC,Interaction Design and Children,C,會議,人機互動與普適計算
9,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",C,會議,人機互動與普適計算
10,CSCWD,International Conference on Computer Supported Cooperative Work in Design,C,會議,人機互動與普適計算
11,CoopIS,International Conference on Cooperative Information Systems,C,會議,人機互動與普適計算
12,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",C,會議,人機互動與普適計算
13,AVI,International Working Conference on Advanced Visual Interfaces,C,會議,人機互動與普適計算
1,WWW,International World Wide Web Conferences,A,會議,交叉/綜合/新興
2,RTSS,Real-Time Systems Symposium,A,會議,交叉/綜合/新興
3,WINE,Conference on Web and Internet Economics,A,會議,交叉/綜合/新興
1,CogSci,Cognitive Science Society Annual Conference,B,會議,交叉/綜合/新興
2,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,B,會議,交叉/綜合/新興
3,EMSOFT,International Conference on Embedded Software,B,會議,交叉/綜合/新興
4,ISMB,International conference on Intelligent Systems for Molecular Biology,B,會議,交叉/綜合/新興
5,RECOMB,International Conference on Research in Computational Molecular Biology,B,會議,交叉/綜合/新興
6,MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention,B,會議,交叉/綜合/新興
1,AMIA,American Medical Informatics Association Annual Symposium,C,會議,交叉/綜合/新興
2,APBC,Asia Pacific Bioinformatics Conference,C,會議,交叉/綜合/新興
3,,IEEE International Conference on Big Data,C,會議,交叉/綜合/新興
4,,IEEE International Conference on Cloud Computing,C,會議,交叉/綜合/新興
5,SMC,"IEEE International Conference on Systems, Man, and Cyber​​netics",C,會議,交叉/綜合/新興
6,COSIT,International Conference on Spatial Information Theory,C,會議,交叉/綜合/新興
7,ISBRA,International Symposium on Bioinformatics Research and Applications,C,會議,交叉/綜合/新興
8,SAGT,International Symposium on Algorithmic Game Theory,C,會議,交叉/綜合/新興
9,SIGSPATIAL,ACM Special Interest Group on Spatial Information,C,會議,交叉/綜合/新興
10,ICIC,International Conference on Intelligent Computing,C,會議,交叉/綜合/新興
